birth_year,gender,x102,x103,x104,x108,x109,x113,x114,x118,x119,x130,x140,x210,x258,x323
45,1,1,1,1,4,1,4,1,2,3,17,2,14,1,45
44,2,1,1,1,2,1,2,1,2,3,9,2,15,1,19
64,1,1,1,1,2,5,2,3,4,3,11,3,3,1,44
33,1,1,1,1,3,1,2,1,2,3,7,1,35,1,44
38,2,1,1,1,2,1,2,1,2,3,7,1,8,1,33
54,2,1,1,1,2,2,4,2,3,3,15,1,7,1,36
54,1,4,1,1,5,4,4,4,3,3,17,1,6,1,70
55,2,1,1,1,2,1,2,1,2,3,13,1,2,1,33
51,2,1,1,1,6,3,4,1,5,3,18,2,8,1,33
54,1,1,1,1,4,4,6,3,3,3,17,2,5,1,53
39,2,1,1,1,2,6,2,4,4,3,16,1,18,1,52
62,2,1,1,3,8,0,3,1,4,3,10,2,2,NA,20
23,1,1,1,1,2,1,2,1,2,3,7,1,42,1,53
26,2,1,1,4,2,7,4,5,2,3,8,1,21,1,42
51,2,1,1,3,2,6,2,1,3,3,9,2,16,1,41
46,1,1,1,2,3,6,4,3,3,3,8,2,21,1,44
48,2,1,1,1,4,5,2,1,4,3,15,1,10,1,34
56,1,1,1,1,2,5,2,2,5,3,11,1,7,1,70
58,1,1,1,1,5,5,5,1,3,1,12,2,6,1,45
62,2,1,1,1,4,4,4,3,2,1,11,2,4,1,36
65,2,2,1,1,5,3,2,2,3,3,12,3,0,NA,20
29,1,1,1,1,1,7,1,1,4,3,12,1,39,1,66
28,2,4,2,1,2,7,2,1,1,3,9,1,31,1,31
44,1,1,1,1,2,6,2,1,2,3,13,1,23,1,70
45,2,1,1,1,6,5,2,1,4,3,13,1,10,1,30
61,2,1,1,1,2,1,2,1,2,3,10,3,7,1,52
50,1,1,1,1,2,7,2,3,4,3,17,2,11,1,78
50,2,1,1,1,2,7,2,3,4,3,17,2,7,1,31
55,2,1,1,1,2,1,2,3,2,3,14,3,9,1,45
40,1,1,1,1,2,6,2,1,3,4,7,3,29,1,35
43,1,1,1,1,2,6,2,1,3,4,8,1,25,1,49
47,2,1,1,1,2,1,2,1,2,4,10,1,6,1,29
50,1,1,1,1,2,6,2,2,5,4,13,1,13,1,36
44,2,1,1,1,6,5,2,2,3,4,9,1,24,1,37
49,1,1,1,1,2,5,2,1,3,4,8,1,20,1,48
50,2,1,1,1,5,5,4,1,2,4,8,1,19,1,27
57,2,1,1,1,2,2,2,2,3,4,13,2,8,1,31
30,1,1,1,1,6,3,3,2,3,4,18,1,33,1,55
28,2,1,1,1,2,5,6,4,3,4,17,1,33,1,54
38,2,1,1,1,2,6,2,4,3,4,9,1,19,1,34
29,1,1,1,1,2,1,2,1,2,4,11,2,29,2,19
38,1,1,1,1,3,7,2,1,2,4,7,1,24,1,34
39,2,1,1,1,2,4,2,1,2,4,12,1,15,NA,40
41,2,1,1,1,2,2,2,1,2,4,7,2,17,1,87
22,1,1,1,1,1,1,1,1,2,4,7,1,44,1,61
25,2,1,1,1,1,6,2,1,2,4,6,1,30,NA,35
52,2,1,1,1,2,6,2,3,3,4,8,1,10,1,50
49,1,1,1,1,2,1,2,4,2,4,7,1,18,1,59
34,1,4,2,1,1,1,1,1,1,4,7,1,34,1,41
40,2,4,2,1,1,8,1,1,1,4,7,1,8,1,41
35,1,1,1,1,2,6,2,1,4,3,15,1,21,1,47
40,1,1,1,1,5,5,3,4,3,3,19,1,23,3,200
46,2,1,1,1,2,6,2,2,3,3,12,1,12,1,69
52,2,1,1,1,2,1,2,1,2,3,11,2,12,1,38
51,1,1,1,1,2,2,2,1,3,3,14,2,17,NA,58
49,1,1,1,1,2,6,2,3,4,3,17,2,10,2,44
53,2,1,1,7,3,7,2,4,2,3,15,2,11,1,41
57,1,1,1,1,2,5,2,3,2,3,13,2,8,1,41
61,1,4,2,1,3,8,4,2,1,3,11,2,4,1,41
42,1,1,1,1,2,5,2,1,3,3,14,3,25,1,151
63,1,1,1,6,2,2,8,5,5,3,9,3,5,1,32
27,2,1,1,2,2,1,1,1,2,3,8,1,30,1,33
45,1,1,1,1,2,7,2,4,3,3,8,1,23,1,44
59,2,4,1,1,5,2,4,4,3,3,12,3,6,1,40
19,1,1,1,1,1,1,1,2,2,3,7,3,49,1,33
31,2,1,1,2,2,4,4,3,5,3,17,1,18,1,43
42,2,1,1,1,1,6,1,3,2,3,9,1,18,1,40
32,1,1,1,1,4,4,2,1,3,3,9,1,35,1,53
35,1,1,1,1,2,1,2,1,2,3,7,1,32,2,43
60,2,1,1,1,2,8,2,4,3,3,11,2,6,1,36
59,1,1,1,1,2,6,2,3,3,3,11,2,6,1,64
37,1,1,1,1,2,6,2,2,2,3,7,1,29,1,38
44,2,1,1,2,4,3,2,3,5,3,12,1,18,1,37
22,1,1,1,1,3,2,2,1,4,3,13,1,46,1,96
41,2,4,2,1,2,2,2,1,1,3,12,1,20,1,42
34,1,1,1,1,1,1,2,1,2,3,13,1,29,1,63
62,2,1,1,1,2,7,2,2,3,3,11,3,4,1,31
62,2,1,1,7,2,0,2,5,3,3,11,2,1,1,34
61,1,1,1,1,2,4,2,3,4,3,9,2,7,1,50
33,1,1,1,1,5,2,4,1,5,3,16,1,30,1,63
59,2,1,1,1,6,3,6,4,4,3,10,1,7,1,45
55,1,1,1,3,1,1,2,1,2,3,11,1,11,1,52
63,2,4,1,3,8,2,3,2,2,3,12,3,5,1,23
24,2,1,1,1,2,6,3,1,3,3,8,1,12,1,44
36,1,1,1,1,2,6,2,1,3,3,7,3,30,1,41
45,2,1,1,1,2,1,2,1,2,3,14,3,16,1,40
44,1,4,2,2,2,1,2,2,1,3,9,3,23,1,36
42,1,1,1,1,2,8,2,1,2,3,7,1,25,1,34
56,1,1,1,1,3,4,2,3,4,3,15,2,6,2,38
58,2,1,1,1,2,1,2,1,3,3,15,2,5,1,37
64,1,2,1,2,2,6,2,4,3,3,10,3,4,1,31
25,1,1,1,1,2,4,2,1,4,4,11,1,36,1,142
28,2,1,1,1,2,5,2,1,4,4,9,1,23,1,46
42,2,1,1,1,6,2,4,4,5,4,11,1,18,1,37
42,1,1,1,1,5,4,2,1,5,4,23,1,15,1,93
56,2,1,1,1,6,5,5,2,3,4,16,1,8,1,40
55,1,1,1,1,6,5,6,4,3,4,12,1,9,1,39
52,2,1,1,1,2,1,2,2,2,4,15,1,9,1,45
49,1,1,1,1,5,5,4,1,5,4,17,1,11,1,63
26,2,1,1,1,2,1,2,4,2,4,7,1,22,NA,30
43,1,1,1,1,3,4,2,3,4,4,15,1,22,1,51
44,2,1,1,1,2,1,2,1,2,4,7,1,20,1,36
39,2,1,1,1,2,6,2,1,3,4,14,1,24,1,55
39,1,1,1,1,2,6,2,2,3,4,11,1,28,1,80
61,1,1,1,3,5,5,3,2,2,4,13,2,7,1,45
64,2,1,1,1,4,5,4,4,3,4,12,2,1,1,39
